"Neighborhood";"sqft";"address";"latitude";"longitude"
"Arverne";6000;"312 Beach 54th Street";40.5928330301481;-73.784254654772
"Oakland Gardens";5000;"79-50 Bell Blvd";40.7345870041161;-73.7553486206572
"Fresh Meadows";9500;"193-20 Horace Harding Expressway";40.7416310391884;-73.782773539514
"Jamaica";7900;"92-06 156th Street";40.6640112065141;-73.8420044665621
"Bronx";5200;"5555 Mosholu Ave";40.903014024345;-73.9038381030425
"Bronx";6000;"812 Edgewater Rd";40.8177742918264;-73.8834480505107
"Briarwood";15282;"85-70 148th st";40.7087135093332;-73.810099345801
"Bronx";3200;"243 E204th St";40.863069999581;-73.889159999834
"Sunnyside";24000;"39-01 Queens Blvd";40.7442431205719;-73.9260822830327
"Sunnyside";14000;"43-31 39th Street";40.7452516549057;-73.925827740457
"Sunset Park";9327;"705 41st Street";40.6474215037578;-74.000461551257
"Harlem";3315;"118-124 E111th Street";40.7920158666383;-73.9360633672851
"Concourse";4000;"1413 Sheridan Ave";40.8387134929061;-73.9125631500454
"Concourse";7500;"1347 Morris Avenue";40.836884884949;-73.9120105181613
"Murray Hill";9427;"14 E. 28th St";40.7442340288517;-73.9863856972763
"Flatiron";2125;"137 W14th St";40.7406500000976;-73.9985100000363
"Harlem";1000;"216 West 112th Street";40.8009929427597;-73.9552589145503
"Bowery";3946;"184 Eldridge St";40.7206540402357;-73.9906119543783
"East New York";3540;"508 Williams Avenue";40.6633786858362;-73.897576399591
"East New York";3540;"502 Williams Avenue";40.6635135841406;-73.8976033792518
"East New York";3540;"496 Williams Avenue";40.6636304960044;-73.8976303589128
"East New York";3540;"490 Williams Avenue";40.6637474078682;-73.8976663317939
"East New York";3540;"486 Williams Ave";40.6638733129523;-73.8976933114548
"Astoria";8000;"2112 30th Rd";40.7688241937716;-73.9280364367234
"Upper West Side";4622;"149 Manhattan Ave";40.7991800913381;-73.9611749015885
"Upper West Side";3600;"149 W108";40.7981200000381;-73.9672900001332
"Upper West Side";5590;"930 West end Ave";40.8013074514864;-73.9687142788747
"Harlem";3500;"109 W129th st";40.8109000003349;-73.9520699997306
"Long Island City";3000;"43-26 12th Street";40.7507298345421;-73.9478934671303
"Flushing";8625;"138-46 Northern Blvd";40.7638704646985;-73.8278820955272
"Park Slope";3500;"357 9th Street";40.6683429434379;-73.9844958737228
"Jamaica";10810;"238-10 Hillsdale Ave";40.7333819125969;-73.7266602479225
"Bedford Stuyvesant";14300;"1121 Bedford Ave";40.6852779625158;-73.954214143268
"Long Island City";22000;"32-23 Queens Blvd";40.744993259943;-73.9325771592185
"Boro Park";4815;"4912 14th Avenue";40.6336376198525;-73.9900588159976
"East Harlem";5042;"206 East 118th Street";40.7990234275155;-73.9385944773474
"East Harlem";3164;"2295 2nd Avenue";40.798151085147;-73.9369667044744
"East Harlem";3120;"251 E. 119th Street";40.7994446100495;-73.9374136655865
